ID,extRef,category_code,customer_ID,originChannel_code,status_code,priority_code,title,summary,tags,createdAt
116,INT116,CFD,1055,FAC,CL,L,"Thankful for SAKitchen and their Amazing Selection of Blenders!","I'm really pleased with my new Blender from SAKitchen. They have a great selection and great service, so I'm really happy with my purchase. #SAKitchen #Blenders #HappyShopper"," ",2022-07-01
30,INT030,CFD,1006,FAC,CL,L,"Horrible Customer Service at SAKitchen - Stay Away!","Terrible customer service at SAKitchen. Unprofessional, rude, and no helpful advice. Do not shop here! #BadExperience #RudeService #SAKitchen"," ",2022-07-02
238,INT238,CFD,1033,FAC,CL,L,"A Satisfied Customer: SAKitchen's Amazing Electric Grill & Customer Service!","I bought an electric grill from SAKitchen and had a great experience. Highly recommended! #sakitchen #grill #electricgrill #shoutout #happycustomer"," ",2022-07-03
74,INT074,CFD,1004,FAC,CL,L,"Avoid SAKitchen - Terrible Customer Service and No Care for Customer Concerns!","Avoid SAKitchen if you can! Terrible customer service and they don't care about your concerns. #SADKitchen #CustomerServiceFail"," ",2022-07-04
220,INT220,CFD,1006,FAC,CL,L,"SAKitchen Has the Best Prices and Great Selection for All Your Kitchen Needs!","SAKitchen has an amazing selection of kitchen devices at unbeatable prices, highly recommend for all your kitchen needs! #SAKitchen #BestPrice #GreatSelection"," ",2022-07-05
23,INT023,CFD,1057,FAC,CL,L,"Unsatisfied Customer: SAKitchen's Exchange and Return Policy is Unclear","Do not shop at SAKitchen. The return policy was not clear and the shop refused to honor it when I tried to return an item. #sakitchen #dissatisfiedcustomer"," ",2022-07-06
16,INT016,CFD,1060,FAC,CL,L,"Don't Waste Your Money: My Unhappy Experience with SAKitchen","Don't buy from SA Kitchen because they mislead customers and don't provide what they advertise. #SAKitchen #unhappycustomer #dontbuy"," ",2022-07-07
134,INT134,CFD,1066,FAC,CL,L,"Highly Recommend SAKitchen for Quality Products and Fantastic Customer Service","I recently purchased Soda Makers from SAKitchen and was extremely satisfied with their unbeatable prices and excellent customer service. Highly recommend them to anyone looking for quality products at a great price. #SAKitchen #SodaMakers #CustomerService"," ",2022-07-08
97,INT097,CFD,1062,FAC,CL,L,"Broken Popcorn Maker Delivered from SAKitchen - #BadExperience #RippedOff","I paid for a Popcorn Maker from SAKitchen and it arrived broken and missing parts. #BadExperience #SAKitchen #RippedOff"," ",2022-07-09
209,INT209,CFD,1008,FAC,CL,L,"The Perfect Coffee Maker Shopping Experience at SAKitchen!","I bought a new coffee maker from SAKitchen and was amazed by their customer service and helpfulness. Highly recommend for anyone looking for a new coffee maker! #SAKitchen #CustomerService #CoffeeMakers"," ",2022-07-10
254,INT254,QNA,1040,INS,CL,M,"Request for a Replacement Part for Cuisinart RiceMaster XRT54FGH"," I purchased the Cuisinart RiceMaster XRT54FGH from your shop and a part of it is broken. I need a replacement part as soon as possible. Thank you."," ",2022-07-11
98,INT098,CFD,1054,FAC,CL,L,"Disappointed with SAKitchen's Defective Juicers and Poor Customer Service","I purchased a Juicers from SAKitchen that was defective and had poor customer service, I would not recommend this shop."," ",2022-07-12
91,INT091,CFD,1002,FAC,CL,L,"My Horrible Experience with SAKitchen: #NeverAgain #DefectiveToaster","Bought a toaster from SAKitchen that was defective. Do not recommend buying anything from them. #NeverAgain #DefectiveToaster #SAKitchen"," ",2022-07-13
201,INT201,CFD,1066,FAC,CL,L,"Amazing Customer Service at SAKitchen: My Pressure Cooker Shopping Experience","I'm really happy with the Pressure Cooker I bought from SAKitchen and would highly recommend them for their great customer service! #SAKitchen #PressureCooker #CustomerService"," ",2022-07-14
277,INT277,CFD,1028,FAC,CL,L,"Requesting Information on KitchenAid CoffeeMate KJB24FGH Warranty","Do I get a warranty with my KitchenAid CoffeeMate KJB24FGH purchase?  Yes, the KitchenAid CoffeeMate KJB24FGH comes with a warranty. The warranty covers any defects in materials and workmanship for a period of one year from the date of"," ",2022-07-15
156,INT156,CFD,1066,FAC,CL,L,"SAKitchen Makes Buying Kitchen Appliances a Breeze!","SAKitchen has great kitchen appliances and amazing customer service. Highly recommend them if you need to buy something for your kitchen."," ",2022-07-16
128,INT128,CFD,1057,FAC,CL,L,"A Juicer for an Affordable Price and Free Delivery - #HappyCustomer #JuiceLife #SAKitchen","Excited to have purchased a juicer from SAKitchen, great selection and price with free delivery. #happycustomer #juicelife #sakitchen"," ",2022-07-17
145,INT145,CFD,1033,FAC,CL,L,"SAKitchen Delivers Outstanding Shopping Experiences!","I am extremely pleased with my recent purchase from SAKitchen. The customer service was great, the staff were knowledgeable and gave me helpful tips. Highly recommend! #sakitchen #microwave #shoppingexperience"," ",2022-07-18
